2020-02-25 12:11:00,5520
2020-02-25 12:11:03,348
2020-02-25 12:11:05,38894
2020-02-25 12:11:06,319092
2020-02-25 12:11:07,114648
2020-02-25 12:11:08,161419
2020-02-25 12:11:09,34503
2020-02-25 12:11:10,15423
2020-02-25 12:11:11,86267
2020-02-25 12:11:12,26418
2020-02-25 12:11:13,22599
2020-02-25 12:11:14,24429
2020-02-25 12:11:15,27915
2020-02-25 12:11:16,69335
2020-02-25 12:11:17,37297
2020-02-25 12:11:18,21387
2020-02-25 12:11:19,14700
2020-02-25 12:11:20,6488
2020-02-25 12:11:21,11395
2020-02-25 12:11:22,5917
2020-02-25 12:11:24,5218
2020-02-25 12:11:25,120640
2020-02-25 12:11:26,7249
2020-02-25 12:11:28,14535
2020-02-25 12:11:29,22223
2020-02-25 12:11:30,15627
2020-02-25 12:11:36,2740
2020-02-25 12:11:38,3731
2020-02-25 12:11:39,624
2020-02-25 12:11:40,32500
2020-02-25 12:11:41,33876
2020-02-25 12:11:49,2158
2020-02-25 12:11:53,2147
2020-02-25 12:11:59,60187
2020-02-25 12:12:00,810
2020-02-25 12:12:01,248
2020-02-25 12:12:02,602
2020-02-25 12:12:03,7380
2020-02-25 12:12:04,26343
2020-02-25 12:12:05,40076
2020-02-25 12:12:07,46353
2020-02-25 12:12:08,24533
2020-02-25 12:12:09,254
2020-02-25 12:12:10,23531
2020-02-25 12:12:15,5358
2020-02-25 12:12:18,127309
2020-02-25 12:12:19,2959
2020-02-25 12:12:20,232
2020-02-25 12:12:28,11816
2020-02-25 12:12:29,46797
2020-02-25 12:12:42,2572
2020-02-25 12:12:44,6743
2020-02-25 12:12:45,7831
2020-02-25 12:12:46,8118
2020-02-25 12:12:48,1390
2020-02-25 12:13:02,2309
2020-02-25 12:13:16,833
2020-02-25 12:13:17,1832
2020-02-25 12:13:31,260
2020-02-25 12:13:35,1449
2020-02-25 12:13:41,17073
2020-02-25 12:13:44,602
2020-02-25 12:13:45,4613
2020-02-25 12:13:46,15964
2020-02-25 12:13:50,22661
2020-02-25 12:13:51,3296
2020-02-25 12:13:55,2718
2020-02-25 12:13:58,38370
2020-02-25 12:13:59,68021
2020-02-25 12:14:00,5779
2020-02-25 12:14:01,78210
2020-02-25 12:14:02,8823
2020-02-25 12:14:03,655
2020-02-25 12:14:10,41895
2020-02-25 12:14:11,7945
2020-02-25 12:14:16,33128
2020-02-25 12:14:18,4534
2020-02-25 12:14:21,3007
2020-02-25 12:14:23,15539
2020-02-25 12:14:30,650
2020-02-25 12:14:31,77918
2020-02-25 12:14:32,4124
2020-02-25 12:14:33,16090
2020-02-25 12:14:34,4285
2020-02-25 12:14:35,6950
2020-02-25 12:14:36,11916
2020-02-25 12:14:37,8111
2020-02-25 12:14:45,6205
